component,amplitude_uT,angular_frequency_rad_s,frequency_mhz,phase_rad
1,-1.7736453773196785,-26184738.694110565,-4.167430596737317,-0.11505615214845415
2,-16.497268284433922,-20935219.639699586,-3.3319436903727175,0.06435210886417553
3,19.88597655333141,-15696178.651972905,-2.49812442011497,-0.10248867128349717
4,19.254045555223502,-10485934.936103404,-1.6688883780208545,-0.11385792964160178
5,16.14254032442548,-5251257.324623629,-0.8357635606613724,-0.0890891943384615
6,-13.896547918186602,15061.763565860689,0.0023971541231881405,0.19235460823340295
7,-4.664844384930357,5220717.123945348,0.8309029367604054,-0.2353202990869776
8,10.281539765422716,10485934.585402511,1.6688883222050739,-0.05086708142566164
9,21.4302947288846,15696178.43391864,2.498124385410556,0.3070931244039541
10,3.1392103487739416,20952673.02744268,3.33472148330573,-0.0007518037230346559
11,0.4856116449316897,26175141.347403675,4.165903131568349,-0.12413266527617958
