component,amplitude_uT,angular_frequency_rad_s,frequency_mhz,phase_rad
1,214.2808701438491,-430566.3600646183,-0.06852676453336884,-0.7866782711109768
2,214.28526492926963,4008193.3879514784,0.6379237905607288,-0.09180861808609497
3,214.2852757326551,6940727.826316714,1.1046511422137713,0.41609823520024725
4,214.23438232379254,12294357.757565737,1.956707809256777,-0.6924038009456306
5,214.285638817286,15687660.3492947,2.496768690136981,-0.3370162508345043
6,214.28056066971922,19542447.193694033,3.1102770709887437,-0.5504895443424193
7,214.2853258358629,22960140.18208258,3.6542198040612925,0.42931480014496454
8,214.2856442131976,26042449.305758208,4.1447845372315175,0.7870288651303163
9,214.28504508750197,30554413.616149686,4.862885960284536,1.611135753619557
10,214.28561571944903,30622495.769231267,4.8737215714838085,-2.6083101776687045
11,214.28467366254915,30009936.390237637,4.77622971837967,-0.1473012092266303
