component,amplitude_uT,angular_frequency_rad_s,frequency_mhz,phase_rad
1,214.28086082480723,-431234.73837536946,-0.06863314024538031,-0.7904529212236706
2,214.28526653744692,4004747.195448108,0.6373753119889711,-0.09187878470568792
3,214.2852755474382,6945409.916490935,1.1053963200090002,0.41499150243299054
4,214.23430099473597,12291404.122331008,1.9562377236090795,-0.6910636152533423
5,214.28563867566524,15695433.861869082,2.498005883088381,-0.3414943250105323
6,214.28057747553373,19554341.847019374,3.1121701638618364,-0.5569172450437121
7,214.28532573668986,22971355.706235476,3.6560048101695926,0.4300380227286393
8,214.28564375404045,26063510.88005574,4.1481365908902665,0.7832136749333529
9,214.28504553404895,30554847.52127292,4.862955018429731,1.604699124577426
10,214.28561561806913,30623109.455111764,4.873819242625196,-2.609151704391806
11,214.28466832855122,30011552.105059497,4.776486867380196,-0.14576745196149868
