component,amplitude_uT,angular_frequency_rad_s,frequency_mhz,phase_rad
1,214.28086670164478,-422976.734914463,-0.06731883817450707,-0.7887837546272458
2,214.28526606933355,4009982.9145523086,0.6382086025650453,-0.09490901230284214
3,214.2852749864347,6940725.685428113,1.1046508014807677,0.4140505526072958
4,214.23427035521777,12296373.34847372,1.9570286005130335,-0.6895757830865101
5,214.28563870560782,15688952.51988995,2.4969743454745332,-0.3439714191126356
6,214.28056771919412,19558227.529937863,3.1127885895056013,-0.5556958875585339
7,214.285325568656,22964785.90104895,3.6549591931990064,0.4275571170966356
8,214.2856437573348,26068374.35435877,4.148910636866194,0.7861559799860792
9,214.28504627782976,30555597.09660192,4.863074317048561,1.6027860365727886
10,214.28561557107813,30622502.798539266,4.873722690232923,-2.6097850473058624
11,214.2846675315134,30012117.020691305,4.776576776495428,-0.14391002560275584
